id	key	piikey	name	type	match	rule	minlen	maxlen	priority	validator	fieldrule	fieldrulematch	imprecise
sha256hash	sha256hash		SHA-256 hash	data	ppr	Word(hexnums, exact=64)	64	64	1				False
sha1hash	sha1hash		SHA-1 hash	data	ppr	Word(hexnums, exact=40)	40	40	1				False
md5hash	md5hash		MD5 hash	data	ppr	Word(hexnums, exact=32)	32	32	1				False
uuid	uuid		Universally unique identifier (UUID)	data	ppr	Word(hexnums, exact=8) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=12)	36	36	1				False
guid	guid		Globally unique identifier (GUID)	data	ppr	Literal('{').suppress() + Word(hexnums, exact=8) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=12) + Literal('}').suppress()	38	38	1				False
passportbypat	ruintpassport	passport	Russian passport by pattern	data	ppr	((Word(nums, exact=2) + Literal(' ').suppress() + Word(nums, exact=2)) | Word(nums,exact=4)) + Literal(' ').suppress() + Word(nums, exact=6)	3	100					False
rusnils	rusnils	rusnils	Russian SNILS person social insurance ID	data	ppr	Word(nums, exact=3) + Literal('-').suppress() + Word(nums, exact=3) + Literal('-').suppress() + Word(nums, exact=3) + Word(nums, exact=2)	17	17	1				False
booleancommon	boolean		Boolean value by known	data	text	true,false	4	5					False
booleanyesno	boolean		Boolean value yes/no	data	text	yes,no	2	3					False
url	url		Web URL	data	func	metacrafterext.rules.common.common._validate_url	5	1024	1				False
email	email	phone	Email	data	func	metacrafterext.rules.common.common._validate_email	3	1024	1				False
filenamebyvalue	filename		Name of the file	data	func	metacrafterext.rules.common.common._validate_filename	5	512	1				False
filenamebyknown	filename		Name of the file by known name	data	text	filename,file_name	8	9	1				False
phone	phone	phone	Phone number	data	func	metacrafterext.rules.common.common._validate_phone	3	100	1				False
mimetypebyvalue	mimetype		Mimetype / content type by value	data	text	application/pdf,application/json,application/octet-stream,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.wordprocessingml.document,image/jpeg,image/tiff,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/zip,text/csv,text/plain,application/vnd.google-earth.kml+xml,application/x-zip-compressed,application/vnd.geo+json,application/vnd.ms-excel.sheet.macroenabled.12,application/vnd.openxmlformats-officedocument.presentationml.presentation,text/xml	8	73	1				False
yearbydatafiltered	year		Modern years in range 1001-2199 by data and fieldname	data	ppr	(Literal('1') + Word(nums, exact=3)) ^ (Literal('2') + Word('01', exact=1) + Word(nums, exact=2))	4	4			Optional(Word(printables)) + Literal('year') + Optional(Word(printables))	ppr	False
